,ldate,retP_rank_longonly,retP_rank_longshort,retP_vw_P1,retP_vw_P2,retP_vw_P3,retP_vw_P4,retP_vw_P5,retP_vw_P6,retP_vw_P7,retP_vw_P8,retP_vw_P9,retP_vw_P10,retF_vw
0,2001-09-01,-0.16674353276386428,0.06371338577023779,,,,,,,,,,,
1,2001-10-01,0.07281703568606791,-0.10860914492352251,,,,,,,,,,,
2,2001-11-01,0.10878535288084985,0.02076284175484672,,,,,,,,,,,
3,2001-12-01,0.07330574106860109,-0.0246837914235091,,,,,,,,,,,
4,2002-01-01,0.06043724389688845,0.0804842849063416,,,,,,,,,,,
5,2002-02-01,-0.037741097775664326,0.034544473326344236,,,,,,,,,,,
6,2002-03-01,0.09041190888393769,0.023294183379240583,,,,,,,,,,,
7,2002-04-01,0.0015389957119160197,0.046025044894738416,,,,,,,,,,,
8,2002-05-01,-0.01851933935053564,0.0060954027683145715,,,,,,,,,,,
9,2002-06-01,-0.07649691682745613,0.0029505059505348557,,,,,,,,,,,
10,2002-07-01,-0.10933412778036321,0.029788712524430456,-0.07621568476558467,-0.10885960489806486,-0.08990064820247193,-0.10767574652775219,-0.10460241024868401,-0.09998223126117745,-0.14738380731515469,-0.10987047864141174,-0.14346654561735664,-0.13417832754177222,-0.05796264277618755
11,2002-08-01,0.00651433244651185,0.00700641928547342,0.02780525345139841,0.014610848013772135,-0.003806044585305599,-0.010661578329329232,0.00028131708714733764,-0.04396825209407923,0.03669517048788317,0.04761680689726923,0.00783876314632371,-0.03185875821713148,-0.05966401166852989
12,2002-09-01,-0.09997999636740294,-0.042611088033762054,-0.05114226428394976,-0.12154811944970961,-0.07463225768589644,-0.06722268157569233,-0.13882054997669938,-0.11367460105260202,-0.08487383872222072,-0.14821764366581033,-0.1232034519263265,-0.16729347930326208,-0.11615121501931232
13,2002-10-01,0.05100405106363297,0.011036678051870174,0.08030126084150102,0.1390897168570098,0.10343852101745442,0.05693761305573842,0.08028966047070224,0.08610977581647668,0.09584484576956549,0.05963664720151418,0.043226161519335574,0.08823184317327665,0.007930582331775626
14,2002-11-01,0.17311418977085957,0.15494504949323906,0.02291968346904931,0.09141540760053342,0.09156205642667546,0.06214708764723511,0.09456121888253327,0.13429245114787572,0.10106035648674844,0.20892280598600674,0.20167445126277328,0.2724804484817704,0.24956076501272106
15,2002-12-01,-0.06073567403282589,-0.04223675129508749,-0.049445269767782976,-0.10532633711238902,-0.06968340000034981,-0.053332415578433,-0.06457837510498482,-0.13157623774236626,-0.07460123786577887,-0.07882610603432338,-0.08604278916509317,-0.15175310438459827,-0.1023078346168153
16,2003-01-01,0.013407711510906719,0.033367283479023596,-0.03522068036124579,-0.04115774347551125,0.001971490856052735,-0.021768780165941994,-0.03549461855868693,-0.009917946383009827,-0.02320355368152781,-0.013909553191448282,-0.014688451134788014,0.025113253457206854,0.060333933818452645
17,2003-02-01,-0.02491974957945193,-0.0017674751700463857,-0.008182369900921844,0.020220057292172473,-0.0421529208387339,-0.030227478170992847,-0.01438045823094957,-0.008499066810410644,-0.026405860133274818,-0.05916030864652604,-0.04189603743473971,-0.018307173208215496,-0.010124803307293652
18,2003-03-01,0.008361064691414222,-0.018274428793470132,0.05294987545027372,-0.0019404405967104919,-0.003620096319121332,0.007671369991073742,0.010213681085427693,-0.00846268351335695,0.01735851004178777,-0.05355827680854271,-0.001905344528781514,-0.019878181044496113,-0.07282805649476984
19,2003-04-01,0.11732378056865483,0.045177483862607136,0.060816889296853485,0.08121508628366524,0.06791555036448932,0.10857834604664747,0.0972099783693975,0.09580659153946514,0.09935040447767822,0.14187369283716209,0.05400499505149476,0.1381086850012001,0.07729179570434662
20,2003-05-01,0.1711556957532527,0.0864345650164931,0.011988473496542914,0.04694972026215494,0.10651541128362067,0.08427192292468856,0.06305555950789048,0.12108367037392152,0.15019387139820028,0.13918115185279098,0.0946566925481283,0.19917334008426416,0.18718486658772124
