,ldate,retP_rank_longonly,retP_rank_longshort,retP_vw_P1,retP_vw_P2,retP_vw_P3,retP_vw_P4,retP_vw_P5,retF_vw
0,2014-01-01,-0.025998545846954022,-0.010348000331622347,,,,,,
1,2014-02-01,0.05637341415589705,0.009621710512871194,,,,,,
2,2014-03-01,-0.0023563032853410044,-0.020734370992982934,,,,,,
3,2014-04-01,-0.02024197353263434,-0.037952573786978555,,,,,,
4,2014-05-01,0.017199542625048265,0.02333498153586316,,,,,,
5,2014-06-01,0.04169034423833964,-0.013107214863499105,,,,,,
6,2014-07-01,-0.036964276261637403,0.01718406776444949,-0.03610242721408687,-0.03404244056857833,-0.023228178194372638,-0.014954404771672224,-0.0027824429925089513,0.03331998422157792
7,2014-08-01,0.04794513228176757,0.0004745978262366068,0.031397450047325186,0.04594132043134891,0.040925371993725826,0.046299795352328144,0.048675775851785334,0.01727832580446015
8,2014-09-01,-0.04481724206080807,0.03808776267793944,-0.04922553423511729,-0.05040493446473168,-0.018094364051831863,-0.029176770573199038,-0.010857370905776815,0.038368163329340475
9,2014-10-01,0.03361345782575295,0.027607188112217348,0.005574501262715337,-0.0026221847758167048,0.031934382401849266,0.03702019667687023,0.042323186737405157,0.03674868547468982
10,2014-11-01,0.022528005545887485,0.05107958193523512,-0.02839319357630932,-0.010424879712772618,0.03691365766411295,0.04242293961736673,0.03459818683709371,0.06299138041340303
11,2014-12-01,0.004664095195578818,0.008898390480073577,0.014035794384725112,0.0034561037086482593,-0.004340138694907007,-0.0063837660312480475,-0.01271663386770822,-0.026752428252433333
12,2015-01-01,-0.03657485128933796,-0.004097384637591586,-0.01942950652580243,-0.029450742804292357,-0.008950050223774623,-0.015415836013788117,-0.020851497927322004,-0.0014219914015195755
13,2015-02-01,0.07421779822439503,0.03242727067354886,0.008086854309679104,0.05464753870778205,0.055568406771857544,0.05814969115804981,0.07994656437265465,0.07185971006297555
14,2015-03-01,-0.007083058203171816,0.01669664942790707,-0.025294132049143277,-0.010925145367454531,0.0031295076420495035,-0.00918682031474386,-0.01914656354902204,0.006147568500121235
15,2015-04-01,0.005187858558823104,-0.024996106128243586,0.03150341224063474,0.015414013418241,0.003415854019310115,-0.007131732723990461,0.0007872185889635976,-0.030716193651671143
16,2015-05-01,0.012668752945311019,0.03253021655682076,-0.02713694994678706,0.0005221253972885377,0.02822338909480601,0.023325298460305247,0.02678249212364993,0.05391944207043699
17,2015-06-01,-0.01687521977649391,0.03602084951091937,-0.04396999491514123,-0.041123020187764335,-0.004653985739522735,-0.019497196877222938,-0.016190176935427788,0.027779817979713444
18,2015-07-01,-0.010505805884786057,0.057481294246706095,-0.03636757980447703,-0.016202559807834853,0.028972238269334216,0.023625477774530793,0.028152989479091988,0.06452056928356902
19,2015-08-01,-0.0507267896580079,-0.056801011662012006,-0.04257216474118758,-0.04808427148880881,-0.06943057033430108,-0.060703546346654064,-0.06371253337085296,-0.021140368629665382
20,2015-09-01,-0.049855441468028124,0.03557866738846246,-0.0395974067702059,-0.04332797209227159,-0.046076605254957714,-0.025404554817461275,-0.025893151518394802,0.013704255251811098
21,2015-10-01,0.07265010666029444,-0.010271387948940775,0.08431687915646033,0.07781491324042401,0.059444149119483224,0.07605653695949019,0.08169566194218586,-0.0026212172142744683
22,2015-11-01,0.008223802769590689,0.01189501609837078,-0.006065602522312899,-0.0034854908246793512,-0.0024020061048614554,0.001982911512969557,-0.00013263568508623718,0.005932966837226663
23,2015-12-01,-0.043378373144680474,0.025191793974995425,-0.05114340343840237,-0.04584536686114963,-0.01410311789548877,-0.005975927815947291,-0.03370997090006448,0.017433432538337887
24,2016-01-01,-0.07787873279708056,-0.01899991566444817,-0.021512213780272522,-0.033080616830327744,-0.0756612493882258,-0.04206995511222265,-0.07335295223806916,-0.05184073845779664
25,2016-02-01,0.021905188647401742,-0.011498185690232584,0.016604283891648444,0.025191301830992902,-0.0058703220886215405,-0.00021701820354698366,0.0041489589101732505,-0.012455324981475193
26,2016-03-01,0.09576608917457984,-0.04531511568852886,0.0947040598259594,0.07642240181756606,0.04603602889572075,0.05833339810488676,0.0792711633755213,-0.015432896450438105
27,2016-04-01,0.015965602551972047,-0.06770459221383278,0.04339404726470571,0.02178881129164738,0.022842093691287844,0.009537448688438832,-0.023522643493996555,-0.06691669075870227
28,2016-05-01,0.006044006713513999,0.031169122331557164,0.0015572452894202571,-0.003952889172638934,0.01272833691338983,0.007358105651111345,0.028454308710886455,0.026897063421466198
29,2016-06-01,-0.006805901864885262,-0.03917150141256613,0.037567733942727645,0.025162940308279192,0.0069049487283262085,0.012444911350275562,-0.02581475759325316,-0.0633824915359808
30,2016-07-01,0.06265937849390553,0.02196331886593886,0.0014483999580657387,0.019226765927140756,0.04201024801805036,0.04360946373834783,0.056854693187153624,0.05540629322908788
31,2016-08-01,0.011603978303418692,0.02149856863748517,-0.004983285253495875,0.003115797050411236,-0.02089642099001451,-0.010363189441824355,0.007984395364625635,0.012967680618121511
32,2016-09-01,0.006616256482590919,-0.017437951313529942,0.012125335502204074,0.0014918992432181848,-0.0026178127738625346,-0.0029832294996832622,0.009660976600774607,-0.0024643589014294674
33,2016-10-01,-0.036424226078237705,0.0057338197136115095,-0.014658875198492079,-0.028524521372254412,-0.04875522763030519,-0.026081408166887133,-0.016339700675266768,-0.0016808254767746895
34,2016-11-01,0.0808043414231234,-0.02351853239632233,0.05888355023426017,0.04188152232778562,0.03605978744423797,0.04785122555253931,0.023215248500981125,-0.03566830173327904
